NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3010; Contra Costa County; California,06013301000,301000,5329.0,,
Census Tract 3020.05; Contra Costa County; California,06013302005,302005,7534.0,0.08043535970268118,0.03065309360790714
Census Tract 3020.06; Contra Costa County; California,06013302006,302006,4178.0,,
Census Tract 3020.07; Contra Costa County; California,06013302007,302007,6647.0,,
Census Tract 3020.09; Contra Costa County; California,06013302009,302009,6806.0,,
Census Tract 3020.11; Contra Costa County; California,06013302011,302011,4900.0,,
Census Tract 3020.12; Contra Costa County; California,06013302012,302012,5801.0,,
Census Tract 3020.13; Contra Costa County; California,06013302013,302013,2955.0,,
Census Tract 3020.14; Contra Costa County; California,06013302014,302014,7602.0,,
Census Tract 3031.04; Contra Costa County; California,06013303104,303104,6046.0,,
Census Tract 3031.05; Contra Costa County; California,06013303105,303105,3326.0,,
Census Tract 3031.06; Contra Costa County; California,06013303106,303106,8245.0,,
Census Tract 3031.07; Contra Costa County; California,06013303107,303107,7260.0,,
Census Tract 3032.02; Contra Costa County; California,06013303202,303202,9145.0,,
Census Tract 3032.04; Contra Costa County; California,06013303204,303204,4735.0,,
Census Tract 3032.06; Contra Costa County; California,06013303206,303206,5452.0,,
Census Tract 3032.07; Contra Costa County; California,06013303207,303207,8250.0,,
Census Tract 3032.08; Contra Costa County; California,06013303208,303208,4054.0,,
Census Tract 3032.09; Contra Costa County; California,06013303209,303209,5329.0,,
Census Tract 3032.10; Contra Costa County; California,06013303210,303210,3598.0,,
Census Tract 3032.11; Contra Costa County; California,06013303211,303211,4679.0,,
Census Tract 3040.01; Contra Costa County; California,06013304001,304001,5846.0,,
Census Tract 3040.02; Contra Costa County; California,06013304002,304002,1984.0,,
Census Tract 3040.03; Contra Costa County; California,06013304003,304003,3279.0,,
Census Tract 3040.04; Contra Costa County; California,06013304004,304004,3634.0,,
Census Tract 3040.06; Contra Costa County; California,06013304006,304006,3265.0,,
Census Tract 3040.07; Contra Costa County; California,06013304007,304007,5509.0,,
Census Tract 3050; Contra Costa County; California,06013305000,305000,7403.0,,
Census Tract 3060.02; Contra Costa County; California,06013306002,306002,4439.0,,
Census Tract 3060.03; Contra Costa County; California,06013306003,306003,5039.0,0.1704703314149633,0.046979716010209845
Census Tract 3060.04; Contra Costa County; California,06013306004,306004,3854.0,,
Census Tract 3071.01; Contra Costa County; California,06013307101,307101,4645.0,,
Census Tract 3071.02; Contra Costa County; California,06013307102,307102,5621.0,,
Census Tract 3072.01; Contra Costa County; California,06013307201,307201,4222.0,,
Census Tract 3072.02; Contra Costa County; California,06013307202,307202,4447.0,0.27636608949853836,0.08428942063300655
Census Tract 3072.04; Contra Costa County; California,06013307204,307204,4550.0,,
Census Tract 3072.05; Contra Costa County; California,06013307205,307205,7804.0,,
Census Tract 3080.01; Contra Costa County; California,06013308001,308001,7505.0,,
Census Tract 3080.02; Contra Costa County; California,06013308002,308002,4474.0,,
Census Tract 3090; Contra Costa County; California,06013309000,309000,3595.0,,
Census Tract 3100; Contra Costa County; California,06013310000,310000,6237.0,0.2453102453102453,0.09191821656945985
Census Tract 3110; Contra Costa County; California,06013311000,311000,5266.0,,
Census Tract 3120; Contra Costa County; California,06013312000,312000,2754.0,0.17683369644153957,0.06851889617015272
Census Tract 3131.02; Contra Costa County; California,06013313102,313102,4669.0,,
Census Tract 3131.04; Contra Costa County; California,06013313104,313104,2909.0,,
Census Tract 3131.05; Contra Costa County; California,06013313105,313105,5906.0,,
Census Tract 3131.06; Contra Costa County; California,06013313106,313106,7058.0,,
Census Tract 3131.07; Contra Costa County; California,06013313107,313107,2713.0,,
Census Tract 3132.03; Contra Costa County; California,06013313203,313203,3291.0,,
Census Tract 3132.04; Contra Costa County; California,06013313204,313204,5860.0,,
Census Tract 3132.05; Contra Costa County; California,06013313205,313205,1978.0,,
Census Tract 3132.06; Contra Costa County; California,06013313206,313206,6067.0,0.14900280204384375,0.05768407926390441
Census Tract 3141.02; Contra Costa County; California,06013314102,314102,6901.0,0.04912331546152732,0.014154836706699507
Census Tract 3141.03; Contra Costa County; California,06013314103,314103,5554.0,,
Census Tract 3141.05; Contra Costa County; California,06013314105,314105,3901.0,,
Census Tract 3141.06; Contra Costa County; California,06013314106,314106,4170.0,,
Census Tract 3142; Contra Costa County; California,06013314200,314200,7146.0,0.22334172963895885,0.08300390992219647
Census Tract 3150; Contra Costa County; California,06013315000,315000,3743.0,,
Census Tract 3160; Contra Costa County; California,06013316000,316000,970.0,0.23917525773195877,0.08997366614577015
Census Tract 3170; Contra Costa County; California,06013317000,317000,1934.0,,
Census Tract 3180; Contra Costa County; California,06013318000,318000,3470.0,,
Census Tract 3190.01; Contra Costa County; California,06013319001,319001,4197.0,,
Census Tract 3190.02; Contra Costa County; California,06013319002,319002,3931.0,,
Census Tract 3200.01; Contra Costa County; California,06013320001,320001,3078.0,,
Census Tract 3200.03; Contra Costa County; California,06013320003,320003,3068.0,,
Census Tract 3200.04; Contra Costa County; California,06013320004,320004,6599.0,,
Census Tract 3211.01; Contra Costa County; California,06013321101,321101,6569.0,,
Census Tract 3211.02; Contra Costa County; California,06013321102,321102,6043.0,,
Census Tract 3211.03; Contra Costa County; California,06013321103,321103,4537.0,,
Census Tract 3212; Contra Costa County; California,06013321200,321200,5616.0,,
Census Tract 3220; Contra Costa County; California,06013322000,322000,6694.0,,
Census Tract 3230; Contra Costa County; California,06013323000,323000,4607.0,,
Census Tract 3240.02; Contra Costa County; California,06013324002,324002,4705.0,,
Census Tract 3240.03; Contra Costa County; California,06013324003,324003,3449.0,,
Census Tract 3240.04; Contra Costa County; California,06013324004,324004,2404.0,,
Census Tract 3250; Contra Costa County; California,06013325000,325000,5955.0,,
Census Tract 3260; Contra Costa County; California,06013326000,326000,3628.0,,
Census Tract 3270.01; Contra Costa County; California,06013327001,327001,3479.0,,
Census Tract 3270.02; Contra Costa County; California,06013327002,327002,3801.0,,
Census Tract 3280; Contra Costa County; California,06013328000,328000,2237.0,0.20786767992847563,0.07541003547943803
Census Tract 3290; Contra Costa County; California,06013329000,329000,6488.0,,
Census Tract 3300; Contra Costa County; California,06013330000,330000,5525.0,,
Census Tract 3310; Contra Costa County; California,06013331000,331000,7596.0,,
Census Tract 3320; Contra Costa County; California,06013332000,332000,8015.0,,
Census Tract 3331.01; Contra Costa County; California,06013333101,333101,3951.0,,
Census Tract 3331.02; Contra Costa County; California,06013333102,333102,4238.0,,
Census Tract 3332; Contra Costa County; California,06013333200,333200,5856.0,,
Census Tract 3340.01; Contra Costa County; California,06013334001,334001,3934.0,,
Census Tract 3340.06; Contra Costa County; California,06013334006,334006,4731.0,,
Census Tract 3340.07; Contra Costa County; California,06013334007,334007,3435.0,0.1342066957787482,0.051908634997103645
Census Tract 3340.08; Contra Costa County; California,06013334008,334008,3776.0,,
Census Tract 3342; Contra Costa County; California,06013334200,334200,7173.0,,
Census Tract 3350; Contra Costa County; California,06013335000,335000,3602.0,,
Census Tract 3361.01; Contra Costa County; California,06013336101,336101,4423.0,,
Census Tract 3361.03; Contra Costa County; California,06013336103,336103,4862.0,,
Census Tract 3361.04; Contra Costa County; California,06013336104,336104,2539.0,,
Census Tract 3362.01; Contra Costa County; California,06013336201,336201,3376.0,,
Census Tract 3362.02; Contra Costa County; California,06013336202,336202,5927.0,,
Census Tract 3371; Contra Costa County; California,06013337100,337100,3136.0,,
Census Tract 3372.01; Contra Costa County; California,06013337201,337201,3093.0,,
Census Tract 3372.02; Contra Costa County; California,06013337202,337202,5303.0,,
Census Tract 3373; Contra Costa County; California,06013337300,337300,5928.0,,
Census Tract 3381.01; Contra Costa County; California,06013338101,338101,5530.0,,
Census Tract 3381.02; Contra Costa County; California,06013338102,338102,3221.0,,
Census Tract 3382.01; Contra Costa County; California,06013338201,338201,3922.0,,
Census Tract 3382.03; Contra Costa County; California,06013338203,338203,5396.0,,
Census Tract 3382.04; Contra Costa County; California,06013338204,338204,6600.0,,
Census Tract 3383.01; Contra Costa County; California,06013338301,338301,2882.0,,
Census Tract 3383.02; Contra Costa County; California,06013338302,338302,5484.0,,
Census Tract 3390.01; Contra Costa County; California,06013339001,339001,3649.0,,
Census Tract 3390.03; Contra Costa County; California,06013339003,339003,4153.0,,
Census Tract 3390.04; Contra Costa County; California,06013339004,339004,3319.0,,
Census Tract 3400.01; Contra Costa County; California,06013340001,340001,6084.0,,
Census Tract 3400.03; Contra Costa County; California,06013340003,340003,3671.0,,
Census Tract 3400.04; Contra Costa County; California,06013340004,340004,3938.0,,
Census Tract 3410; Contra Costa County; California,06013341000,341000,4740.0,,
Census Tract 3430.01; Contra Costa County; California,06013343001,343001,5901.0,,
Census Tract 3430.02; Contra Costa County; California,06013343002,343002,4456.0,,
Census Tract 3430.03; Contra Costa County; California,06013343003,343003,3847.0,,
Census Tract 3451.01; Contra Costa County; California,06013345101,345101,6552.0,,
Census Tract 3451.02; Contra Costa County; California,06013345102,345102,4533.0,,
Census Tract 3451.03; Contra Costa County; California,06013345103,345103,5260.0,,
Census Tract 3451.05; Contra Costa County; California,06013345105,345105,6227.0,,
Census Tract 3451.11; Contra Costa County; California,06013345111,345111,5806.0,,
Census Tract 3451.12; Contra Costa County; California,06013345112,345112,7723.0,,
Census Tract 3451.13; Contra Costa County; California,06013345113,345113,4767.0,,
Census Tract 3451.14; Contra Costa County; California,06013345114,345114,6571.0,,
Census Tract 3451.15; Contra Costa County; California,06013345115,345115,6758.0,,
Census Tract 3451.16; Contra Costa County; California,06013345116,345116,2955.0,,
Census Tract 3451.17; Contra Costa County; California,06013345117,345117,4652.0,,
Census Tract 3451.18; Contra Costa County; California,06013345118,345118,3525.0,,
Census Tract 3452.03; Contra Costa County; California,06013345203,345203,6851.0,,
Census Tract 3452.04; Contra Costa County; California,06013345204,345204,3119.0,,
Census Tract 3452.05; Contra Costa County; California,06013345205,345205,5779.0,,
Census Tract 3452.06; Contra Costa County; California,06013345206,345206,3622.0,,
Census Tract 3461.01; Contra Costa County; California,06013346101,346101,3364.0,,
Census Tract 3461.02; Contra Costa County; California,06013346102,346102,5366.0,,
Census Tract 3462.03; Contra Costa County; California,06013346203,346203,4033.0,,
Census Tract 3462.04; Contra Costa County; California,06013346204,346204,7879.0,,
Census Tract 3462.05; Contra Costa County; California,06013346205,346205,4325.0,,
Census Tract 3462.06; Contra Costa County; California,06013346206,346206,3216.0,,
Census Tract 3470; Contra Costa County; California,06013347000,347000,6724.0,,
Census Tract 3480; Contra Costa County; California,06013348000,348000,4809.0,,
Census Tract 3490; Contra Costa County; California,06013349000,349000,5797.0,,
Census Tract 3500; Contra Costa County; California,06013350000,350000,6139.0,,
Census Tract 3511.01; Contra Costa County; California,06013351101,351101,2737.0,,
Census Tract 3511.03; Contra Costa County; California,06013351103,351103,1915.0,,
Census Tract 3511.04; Contra Costa County; California,06013351104,351104,1667.0,,
Census Tract 3511.05; Contra Costa County; California,06013351105,351105,1736.0,,
Census Tract 3512; Contra Costa County; California,06013351200,351200,5482.0,,
Census Tract 3521.01; Contra Costa County; California,06013352101,352101,2621.0,0.03510110644792064,0.013846282751799867
Census Tract 3521.02; Contra Costa County; California,06013352102,352102,4591.0,,
Census Tract 3522.01; Contra Costa County; California,06013352201,352201,6030.0,,
Census Tract 3522.02; Contra Costa County; California,06013352202,352202,2674.0,,
Census Tract 3530.01; Contra Costa County; California,06013353001,353001,4420.0,,
Census Tract 3530.02; Contra Costa County; California,06013353002,353002,4170.0,,
Census Tract 3540.01; Contra Costa County; California,06013354001,354001,2396.0,,
Census Tract 3540.02; Contra Costa County; California,06013354002,354002,6889.0,,
Census Tract 3551.07; Contra Costa County; California,06013355107,355107,5602.0,,
Census Tract 3551.09; Contra Costa County; California,06013355109,355109,7258.0,,
Census Tract 3551.10; Contra Costa County; California,06013355110,355110,4112.0,,
Census Tract 3551.11; Contra Costa County; California,06013355111,355111,6540.0,,
Census Tract 3551.12; Contra Costa County; California,06013355112,355112,5746.0,,
Census Tract 3551.13; Contra Costa County; California,06013355113,355113,5416.0,,
Census Tract 3551.15; Contra Costa County; California,06013355115,355115,10013.0,,
Census Tract 3551.18; Contra Costa County; California,06013355118,355118,3732.0,,
Census Tract 3551.19; Contra Costa County; California,06013355119,355119,5091.0,,
Census Tract 3551.20; Contra Costa County; California,06013355120,355120,4031.0,,
Census Tract 3551.21; Contra Costa County; California,06013355121,355121,6409.0,,
Census Tract 3551.22; Contra Costa County; California,06013355122,355122,5469.0,,
