NAME,GEOID,tract,pct_below_poverty,pct_below_poverty_moe
Census Tract 3010; Contra Costa County; California,06013301000,301000,,0.0407725321888412
Census Tract 3020.05; Contra Costa County; California,06013302005,302005,,0.059255018673612506
Census Tract 3020.06; Contra Costa County; California,06013302006,302006,,0.1750127815063662
Census Tract 3020.07; Contra Costa County; California,06013302007,302007,,0.5802605192558952
Census Tract 3020.09; Contra Costa County; California,06013302009,302009,,0.0737394090977803
Census Tract 3020.11; Contra Costa County; California,06013302011,302011,,0.358886400968268
Census Tract 3020.12; Contra Costa County; California,06013302012,302012,,0.031079402549070406
Census Tract 3020.13; Contra Costa County; California,06013302013,302013,,0.19158898316378856
Census Tract 3020.14; Contra Costa County; California,06013302014,302014,,0.12837837837837837
Census Tract 3031.04; Contra Costa County; California,06013303104,303104,,0.06109324758842444
Census Tract 3031.05; Contra Costa County; California,06013303105,303105,,0.0029614517195224923
Census Tract 3031.06; Contra Costa County; California,06013303106,303106,,0.129374690330027
Census Tract 3031.07; Contra Costa County; California,06013303107,303107,,0.015254046708902581
Census Tract 3032.02; Contra Costa County; California,06013303202,303202,,0.011239851446497062
Census Tract 3032.04; Contra Costa County; California,06013303204,303204,,0.04946407628990037
Census Tract 3032.06; Contra Costa County; California,06013303206,303206,,0.09687329063260146
Census Tract 3032.07; Contra Costa County; California,06013303207,303207,,0.036400367954467605
Census Tract 3032.08; Contra Costa County; California,06013303208,303208,,0.1566265060240964
Census Tract 3032.09; Contra Costa County; California,06013303209,303209,,0.03942394400352624
Census Tract 3032.10; Contra Costa County; California,06013303210,303210,,0.19101029780785714
Census Tract 3032.11; Contra Costa County; California,06013303211,303211,,0.014266798284789854
Census Tract 3040.01; Contra Costa County; California,06013304001,304001,,0.03118221696987019
Census Tract 3040.02; Contra Costa County; California,06013304002,304002,,
Census Tract 3040.03; Contra Costa County; California,06013304003,304003,,0.14606741573033707
Census Tract 3040.04; Contra Costa County; California,06013304004,304004,,
Census Tract 3040.06; Contra Costa County; California,06013304006,304006,,0.2466739488140609
Census Tract 3040.07; Contra Costa County; California,06013304007,304007,,0.031825795644891124
Census Tract 3050; Contra Costa County; California,06013305000,305000,,0.13488363634487233
Census Tract 3060.02; Contra Costa County; California,06013306002,306002,,0.30301446498856
Census Tract 3060.03; Contra Costa County; California,06013306003,306003,,0.24653380677860065
Census Tract 3060.04; Contra Costa County; California,06013306004,306004,,0.03044496487119438
Census Tract 3071.01; Contra Costa County; California,06013307101,307101,,0.15292565807940472
Census Tract 3071.02; Contra Costa County; California,06013307102,307102,,0.3601632615936523
Census Tract 3072.01; Contra Costa County; California,06013307201,307201,,0.4209279927602383
Census Tract 3072.02; Contra Costa County; California,06013307202,307202,0.39663093415007655,0.11811631715003905
Census Tract 3072.04; Contra Costa County; California,06013307204,307204,,0.17322652890652743
Census Tract 3072.05; Contra Costa County; California,06013307205,307205,,0.018569760759656846
Census Tract 3080.01; Contra Costa County; California,06013308001,308001,,0.09054581120077401
Census Tract 3080.02; Contra Costa County; California,06013308002,308002,,0.11765742201563367
Census Tract 3090; Contra Costa County; California,06013309000,309000,,0.1382359765329098
Census Tract 3100; Contra Costa County; California,06013310000,310000,,0.056229810874069
Census Tract 3110; Contra Costa County; California,06013311000,311000,,0.188899035953447
Census Tract 3120; Contra Costa County; California,06013312000,312000,,0.18307025742626656
Census Tract 3131.02; Contra Costa County; California,06013313102,313102,,0.14618763126939469
Census Tract 3131.04; Contra Costa County; California,06013313104,313104,,0.11024733308149719
Census Tract 3131.05; Contra Costa County; California,06013313105,313105,,0.09703938995810173
Census Tract 3131.06; Contra Costa County; California,06013313106,313106,,0.07732708826375422
Census Tract 3131.07; Contra Costa County; California,06013313107,313107,,0.19516748218095015
Census Tract 3132.03; Contra Costa County; California,06013313203,313203,,0.08941830570038552
Census Tract 3132.04; Contra Costa County; California,06013313204,313204,,0.184778096666733
Census Tract 3132.05; Contra Costa County; California,06013313205,313205,,0.43333333333333335
Census Tract 3132.06; Contra Costa County; California,06013313206,313206,,0.04661416540333219
Census Tract 3141.02; Contra Costa County; California,06013314102,314102,,0.025692978381420484
Census Tract 3141.03; Contra Costa County; California,06013314103,314103,,0.06538901076695179
Census Tract 3141.05; Contra Costa County; California,06013314105,314105,,0.004977471466601392
Census Tract 3141.06; Contra Costa County; California,06013314106,314106,,0.04905660377358491
Census Tract 3142; Contra Costa County; California,06013314200,314200,,0.5598476720346589
Census Tract 3150; Contra Costa County; California,06013315000,315000,,0.0990116048586018
Census Tract 3160; Contra Costa County; California,06013316000,316000,,0.4329623538848849
Census Tract 3170; Contra Costa County; California,06013317000,317000,,0.38401317191898515
Census Tract 3180; Contra Costa County; California,06013318000,318000,0.38764044943820225,
Census Tract 3190.01; Contra Costa County; California,06013319001,319001,,0.059617673496609694
Census Tract 3190.02; Contra Costa County; California,06013319002,319002,0.265625,0.08037196885440197
Census Tract 3200.01; Contra Costa County; California,06013320001,320001,,
Census Tract 3200.03; Contra Costa County; California,06013320003,320003,,
Census Tract 3200.04; Contra Costa County; California,06013320004,320004,,0.5621565190126254
Census Tract 3211.01; Contra Costa County; California,06013321101,321101,,0.14393939393939395
Census Tract 3211.02; Contra Costa County; California,06013321102,321102,,0.04283501106423252
Census Tract 3211.03; Contra Costa County; California,06013321103,321103,,0.2549019607843137
Census Tract 3212; Contra Costa County; California,06013321200,321200,,0.08296943231441048
Census Tract 3220; Contra Costa County; California,06013322000,322000,,0.16666666666666666
Census Tract 3230; Contra Costa County; California,06013323000,323000,,0.22413793103448276
Census Tract 3240.02; Contra Costa County; California,06013324002,324002,,0.02620967741935484
Census Tract 3240.03; Contra Costa County; California,06013324003,324003,,0.13049243907172195
Census Tract 3240.04; Contra Costa County; California,06013324004,324004,,0.07836466511962568
Census Tract 3250; Contra Costa County; California,06013325000,325000,,0.09475035810612506
Census Tract 3260; Contra Costa County; California,06013326000,326000,,0.1326530612244898
Census Tract 3270.01; Contra Costa County; California,06013327001,327001,,0.038011695906432746
Census Tract 3270.02; Contra Costa County; California,06013327002,327002,,0.2970167989987388
Census Tract 3280; Contra Costa County; California,06013328000,328000,,0.2925998452178121
Census Tract 3290; Contra Costa County; California,06013329000,329000,,0.0977137957203386
Census Tract 3300; Contra Costa County; California,06013330000,330000,,0.2675549573683925
Census Tract 3310; Contra Costa County; California,06013331000,331000,,0.1305058967827841
Census Tract 3320; Contra Costa County; California,06013332000,332000,,0.13194444444444445
Census Tract 3331.01; Contra Costa County; California,06013333101,333101,,0.16455696202531644
Census Tract 3331.02; Contra Costa County; California,06013333102,333102,,0.11516068548386409
Census Tract 3332; Contra Costa County; California,06013333200,333200,,0.12337662337662338
Census Tract 3340.01; Contra Costa County; California,06013334001,334001,,
