NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3010; Contra Costa County; California,06013301000,301000,1274.0,0.21428571428571427,0.22026864884924982
Census Tract 3020.05; Contra Costa County; California,06013302005,302005,1788.0,0.06319910514541387,0.04024965274615487
Census Tract 3020.06; Contra Costa County; California,06013302006,302006,1265.0,0.10197628458498023,0.08852273997427051
Census Tract 3020.07; Contra Costa County; California,06013302007,302007,2310.0,0.19567099567099566,0.16550398046159734
Census Tract 3020.09; Contra Costa County; California,06013302009,302009,1591.0,0.0,0.011942174732872407
Census Tract 3020.11; Contra Costa County; California,06013302011,302011,1498.0,0.010680907877169559,0.018425210157855695
Census Tract 3020.12; Contra Costa County; California,06013302012,302012,2733.0,0.2092938163190633,0.12686392867570664
Census Tract 3020.13; Contra Costa County; California,06013302013,302013,902.0,0.0022172949002217295,0.00438648325510663
Census Tract 3020.14; Contra Costa County; California,06013302014,302014,2083.0,0.0,0.009121459433509362
Census Tract 3031.04; Contra Costa County; California,06013303104,303104,1542.0,0.0,0.01232166018158236
Census Tract 3031.05; Contra Costa County; California,06013303105,303105,1268.0,0.07097791798107256,0.09037103758653621
Census Tract 3031.06; Contra Costa County; California,06013303106,303106,3641.0,0.061246910189508376,0.06009035586731539
Census Tract 3031.07; Contra Costa County; California,06013303107,303107,2302.0,0.12771503040834056,0.11290192930032374
Census Tract 3032.02; Contra Costa County; California,06013303202,303202,1847.0,0.14997292907417434,0.12430921201942872
Census Tract 3032.04; Contra Costa County; California,06013303204,303204,1256.0,0.0589171974522293,0.04580675558815823
Census Tract 3032.06; Contra Costa County; California,06013303206,303206,691.0,0.17945007235890015,0.26896206715235205
Census Tract 3032.07; Contra Costa County; California,06013303207,303207,1625.0,0.02276923076923077,0.029818619890391324
Census Tract 3032.08; Contra Costa County; California,06013303208,303208,1004.0,0.010956175298804782,0.017279411762529156
Census Tract 3032.09; Contra Costa County; California,06013303209,303209,1209.0,0.013234077750206782,0.019747282680312457
Census Tract 3032.10; Contra Costa County; California,06013303210,303210,261.0,0.04980842911877394,0.07872814818606612
Census Tract 3032.11; Contra Costa County; California,06013303211,303211,1473.0,0.1493550577053632,0.1886508601792773
Census Tract 3040.01; Contra Costa County; California,06013304001,304001,737.0,0.012211668928086838,0.020179379077490504
Census Tract 3040.02; Contra Costa County; California,06013304002,304002,809.0,0.14709517923362175,0.19712388360740266
Census Tract 3040.03; Contra Costa County; California,06013304003,304003,681.0,0.13803230543318648,0.10226176988621756
Census Tract 3040.04; Contra Costa County; California,06013304004,304004,720.0,0.17777777777777778,0.25739265027124697
Census Tract 3040.06; Contra Costa County; California,06013304006,304006,785.0,0.0,0.016560509554140127
Census Tract 3040.07; Contra Costa County; California,06013304007,304007,1013.0,0.0,0.018756169792694965
Census Tract 3050; Contra Costa County; California,06013305000,305000,3999.0,0.2793198299574894,0.16948878265682352
Census Tract 3060.02; Contra Costa County; California,06013306002,306002,1788.0,0.09899328859060402,0.09064636362180038
Census Tract 3060.03; Contra Costa County; California,06013306003,306003,2386.0,0.1768650461022632,0.09054573229464387
Census Tract 3060.04; Contra Costa County; California,06013306004,306004,1533.0,0.08871493803000652,0.06510213397847064
Census Tract 3071.01; Contra Costa County; California,06013307101,307101,1944.0,0.31584362139917693,0.18789004396481096
Census Tract 3071.02; Contra Costa County; California,06013307102,307102,3335.0,0.10794602698650675,0.08704816994219022
Census Tract 3072.01; Contra Costa County; California,06013307201,307201,2500.0,0.1684,0.15654134517577137
Census Tract 3072.02; Contra Costa County; California,06013307202,307202,1996.0,0.3411823647294589,0.16981706210333553
Census Tract 3072.04; Contra Costa County; California,06013307204,307204,1857.0,0.09746903607969844,0.1133975209231489
Census Tract 3072.05; Contra Costa County; California,06013307205,307205,2617.0,0.1696599159342759,0.12787608707476453
Census Tract 3080.01; Contra Costa County; California,06013308001,308001,3420.0,0.08099415204678363,0.0436025505776706
Census Tract 3080.02; Contra Costa County; California,06013308002,308002,1437.0,0.032011134307585246,0.039649113056660024
Census Tract 3090; Contra Costa County; California,06013309000,309000,1276.0,0.04310344827586207,0.03605118734829426
Census Tract 3100; Contra Costa County; California,06013310000,310000,3648.0,0.3105811403508772,0.1294737398863386
Census Tract 3110; Contra Costa County; California,06013311000,311000,3545.0,0.1229901269393512,0.08838272478267833
Census Tract 3120; Contra Costa County; California,06013312000,312000,1240.0,0.1596774193548387,0.1059633345542214
Census Tract 3131.02; Contra Costa County; California,06013313102,313102,1853.0,0.09228278467350243,0.0897039149204052
Census Tract 3131.04; Contra Costa County; California,06013313104,313104,1162.0,0.21600688468158347,0.17731566859413633
Census Tract 3131.05; Contra Costa County; California,06013313105,313105,1945.0,0.08431876606683805,0.07690135718723456
Census Tract 3131.06; Contra Costa County; California,06013313106,313106,2745.0,0.07103825136612021,0.06635679584672732
Census Tract 3131.07; Contra Costa County; California,06013313107,313107,999.0,0.09509509509509509,0.13901718575181124
Census Tract 3132.03; Contra Costa County; California,06013313203,313203,1356.0,0.06342182890855458,0.040492273094576973
Census Tract 3132.04; Contra Costa County; California,06013313204,313204,2767.0,0.04987350921575714,0.052937156907025294
Census Tract 3132.05; Contra Costa County; California,06013313205,313205,1165.0,0.15278969957081545,0.1257139983817299
Census Tract 3132.06; Contra Costa County; California,06013313206,313206,3518.0,0.1122797043774872,0.10071358505647174
Census Tract 3141.02; Contra Costa County; California,06013314102,314102,4020.0,0.037064676616915426,0.02224073181048839
Census Tract 3141.03; Contra Costa County; California,06013314103,314103,3388.0,0.12101534828807556,0.07913917889387324
Census Tract 3141.05; Contra Costa County; California,06013314105,314105,2150.0,0.053953488372093024,0.05470951728424938
Census Tract 3141.06; Contra Costa County; California,06013314106,314106,3056.0,0.26112565445026176,0.13241821927993044
Census Tract 3142; Contra Costa County; California,06013314200,314200,5583.0,0.2246104245029554,0.10070355309406061
Census Tract 3150; Contra Costa County; California,06013315000,315000,1489.0,0.08999328408327736,0.0891809047990061
Census Tract 3160; Contra Costa County; California,06013316000,316000,164.0,0.5426829268292683,0.308319254637008
Census Tract 3170; Contra Costa County; California,06013317000,317000,207.0,0.033816425120772944,0.049769806945363655
Census Tract 3180; Contra Costa County; California,06013318000,318000,498.0,0.09839357429718876,0.13580515451462577
