NAME,GEOID,tract,pct_below_poverty,pct_below_poverty_moe
Census Tract 3010; Contra Costa County; California,06013301000,301000,,0.035836394475121124
Census Tract 3020.05; Contra Costa County; California,06013302005,302005,,0.052906251670958575
Census Tract 3020.06; Contra Costa County; California,06013302006,302006,,0.008442994006060666
Census Tract 3020.07; Contra Costa County; California,06013302007,302007,,0.025160416567896908
Census Tract 3020.09; Contra Costa County; California,06013302009,302009,,0.144400069931012
Census Tract 3020.11; Contra Costa County; California,06013302011,302011,,0.009701492537313432
Census Tract 3020.12; Contra Costa County; California,06013302012,302012,,0.05055425206357526
Census Tract 3020.13; Contra Costa County; California,06013302013,302013,,0.010726042878750314
Census Tract 3020.14; Contra Costa County; California,06013302014,302014,,0.029096767937689734
Census Tract 3031.04; Contra Costa County; California,06013303104,303104,,0.07450659295610483
Census Tract 3031.05; Contra Costa County; California,06013303105,303105,,0.05869553761718232
Census Tract 3031.06; Contra Costa County; California,06013303106,303106,,0.22112051610552694
Census Tract 3031.07; Contra Costa County; California,06013303107,303107,,0.0697976136407663
Census Tract 3032.02; Contra Costa County; California,06013303202,303202,,0.008944411183368304
Census Tract 3032.04; Contra Costa County; California,06013303204,303204,,0.039843049031837725
Census Tract 3032.06; Contra Costa County; California,06013303206,303206,,0.06403278464117362
Census Tract 3032.07; Contra Costa County; California,06013303207,303207,,0.10946407216447779
Census Tract 3032.08; Contra Costa County; California,06013303208,303208,,0.04372184498286058
Census Tract 3032.09; Contra Costa County; California,06013303209,303209,,0.1447370392588627
Census Tract 3032.10; Contra Costa County; California,06013303210,303210,,0.017822433914037712
Census Tract 3032.11; Contra Costa County; California,06013303211,303211,,0.015822754042433145
Census Tract 3040.01; Contra Costa County; California,06013304001,304001,,0.024671372284209212
Census Tract 3040.02; Contra Costa County; California,06013304002,304002,,0.09514563401268003
Census Tract 3040.03; Contra Costa County; California,06013304003,304003,,0.04955486974336871
Census Tract 3040.04; Contra Costa County; California,06013304004,304004,,0.029849576617111996
Census Tract 3040.06; Contra Costa County; California,06013304006,304006,,0.013650032640463843
Census Tract 3040.07; Contra Costa County; California,06013304007,304007,,0.15379691773601362
Census Tract 3050; Contra Costa County; California,06013305000,305000,,0.13589294263435908
Census Tract 3060.02; Contra Costa County; California,06013306002,306002,,0.09949208967711427
Census Tract 3060.03; Contra Costa County; California,06013306003,306003,,0.04152407318566663
Census Tract 3060.04; Contra Costa County; California,06013306004,306004,,0.02939063988960686
Census Tract 3071.01; Contra Costa County; California,06013307101,307101,,0.03788039501603884
Census Tract 3071.02; Contra Costa County; California,06013307102,307102,,0.07943304126243292
Census Tract 3072.01; Contra Costa County; California,06013307201,307201,,0.08715122854405509
Census Tract 3072.02; Contra Costa County; California,06013307202,307202,,0.07647157505984274
Census Tract 3072.04; Contra Costa County; California,06013307204,307204,,0.026910419610670925
Census Tract 3072.05; Contra Costa County; California,06013307205,307205,,0.06641128993862339
Census Tract 3080.01; Contra Costa County; California,06013308001,308001,,0.02783021635503702
Census Tract 3080.02; Contra Costa County; California,06013308002,308002,,0.017989965548821304
Census Tract 3090; Contra Costa County; California,06013309000,309000,,0.029426192309722626
Census Tract 3100; Contra Costa County; California,06013310000,310000,,0.34048800427842474
Census Tract 3110; Contra Costa County; California,06013311000,311000,,0.05561168711452118
Census Tract 3120; Contra Costa County; California,06013312000,312000,0.29605263157894735,0.08831454811503474
Census Tract 3131.02; Contra Costa County; California,06013313102,313102,,0.0446892238125385
Census Tract 3131.04; Contra Costa County; California,06013313104,313104,,0.08867341069935687
Census Tract 3131.05; Contra Costa County; California,06013313105,313105,,0.0835003078866637
Census Tract 3131.06; Contra Costa County; California,06013313106,313106,,0.015219088502444852
Census Tract 3131.07; Contra Costa County; California,06013313107,313107,,0.017955801104972375
Census Tract 3132.03; Contra Costa County; California,06013313203,313203,,0.02870441059683106
Census Tract 3132.04; Contra Costa County; California,06013313204,313204,,0.04616745847620207
Census Tract 3132.05; Contra Costa County; California,06013313205,313205,,0.03394431658358883
Census Tract 3132.06; Contra Costa County; California,06013313206,313206,,0.0740914241599564
Census Tract 3141.02; Contra Costa County; California,06013314102,314102,,0.045041933826099965
Census Tract 3141.03; Contra Costa County; California,06013314103,314103,,0.013845648428069995
Census Tract 3141.05; Contra Costa County; California,06013314105,314105,,0.008466087025406964
Census Tract 3141.06; Contra Costa County; California,06013314106,314106,,0.08218805526238789
Census Tract 3142; Contra Costa County; California,06013314200,314200,,0.07841598862897638
Census Tract 3150; Contra Costa County; California,06013315000,315000,,0.04720951246117326
Census Tract 3160; Contra Costa County; California,06013316000,316000,,0.09986303764469279
Census Tract 3170; Contra Costa County; California,06013317000,317000,,0.04933742997624585
Census Tract 3180; Contra Costa County; California,06013318000,318000,,0.027371454820907623
Census Tract 3190.01; Contra Costa County; California,06013319001,319001,,0.012063004003658688
Census Tract 3190.02; Contra Costa County; California,06013319002,319002,,0.057417994107031814
Census Tract 3200.01; Contra Costa County; California,06013320001,320001,,0.037287583094306534
Census Tract 3200.03; Contra Costa County; California,06013320003,320003,,0.028476922746320382
Census Tract 3200.04; Contra Costa County; California,06013320004,320004,,0.04146890599808663
Census Tract 3211.01; Contra Costa County; California,06013321101,321101,,0.03474915540055493
Census Tract 3211.02; Contra Costa County; California,06013321102,321102,,0.07146492063167309
Census Tract 3211.03; Contra Costa County; California,06013321103,321103,,0.04549524759244877
Census Tract 3212; Contra Costa County; California,06013321200,321200,,0.06904965779964795
Census Tract 3220; Contra Costa County; California,06013322000,322000,,0.017403204153119217
Census Tract 3230; Contra Costa County; California,06013323000,323000,,0.02046968326793515
Census Tract 3240.02; Contra Costa County; California,06013324002,324002,,0.0496555511575081
Census Tract 3240.03; Contra Costa County; California,06013324003,324003,,0.08201860038037125
Census Tract 3240.04; Contra Costa County; California,06013324004,324004,,0.03205338148390749
Census Tract 3250; Contra Costa County; California,06013325000,325000,,0.033457005503138286
Census Tract 3260; Contra Costa County; California,06013326000,326000,,0.027910319135234014
Census Tract 3270.01; Contra Costa County; California,06013327001,327001,,0.09432087274981688
Census Tract 3270.02; Contra Costa County; California,06013327002,327002,,0.04371336626884958
Census Tract 3280; Contra Costa County; California,06013328000,328000,0.2905027932960894,0.09984122568835775
Census Tract 3290; Contra Costa County; California,06013329000,329000,,0.02806485552725163
Census Tract 3300; Contra Costa County; California,06013330000,330000,,0.02000099420790978
Census Tract 3310; Contra Costa County; California,06013331000,331000,,0.04967502340895796
Census Tract 3320; Contra Costa County; California,06013332000,332000,,0.07914330210078618
Census Tract 3331.01; Contra Costa County; California,06013333101,333101,,0.03495519684190476
Census Tract 3331.02; Contra Costa County; California,06013333102,333102,,0.031013520830257577
Census Tract 3332; Contra Costa County; California,06013333200,333200,,0.03935834317711163
Census Tract 3340.01; Contra Costa County; California,06013334001,334001,,0.027208755413809214
Census Tract 3340.06; Contra Costa County; California,06013334006,334006,,0.0445258565787901
Census Tract 3340.07; Contra Costa County; California,06013334007,334007,,0.06481228033568406
Census Tract 3340.08; Contra Costa County; California,06013334008,334008,,0.01197310471613391
Census Tract 3342; Contra Costa County; California,06013334200,334200,,0.00900037433661761
Census Tract 3350; Contra Costa County; California,06013335000,335000,,0.048616692187996725
Census Tract 3361.01; Contra Costa County; California,06013336101,336101,,0.13032824323070574
Census Tract 3361.03; Contra Costa County; California,06013336103,336103,,0.296845142473068
Census Tract 3361.04; Contra Costa County; California,06013336104,336104,,0.07844725964717292
Census Tract 3362.01; Contra Costa County; California,06013336201,336201,,0.05509833329896714
Census Tract 3362.02; Contra Costa County; California,06013336202,336202,,0.038506219051252406
Census Tract 3371; Contra Costa County; California,06013337100,337100,,0.0481310420963624
Census Tract 3372.01; Contra Costa County; California,06013337201,337201,,0.24384476470819583
Census Tract 3372.02; Contra Costa County; California,06013337202,337202,,0.04073491602711337
Census Tract 3373; Contra Costa County; California,06013337300,337300,,0.07369417257444766
Census Tract 3381.01; Contra Costa County; California,06013338101,338101,,0.044168995582822626
Census Tract 3381.02; Contra Costa County; California,06013338102,338102,,0.0231289147878942
Census Tract 3382.01; Contra Costa County; California,06013338201,338201,,0.039454672878376146
Census Tract 3382.03; Contra Costa County; California,06013338203,338203,,0.04650329672494715
Census Tract 3382.04; Contra Costa County; California,06013338204,338204,,0.024236381859038456
Census Tract 3383.01; Contra Costa County; California,06013338301,338301,,0.011386969886763692
Census Tract 3383.02; Contra Costa County; California,06013338302,338302,,0.008010037716251391
Census Tract 3390.01; Contra Costa County; California,06013339001,339001,,0.09443054020117259
Census Tract 3390.03; Contra Costa County; California,06013339003,339003,,0.0742686071801628
Census Tract 3390.04; Contra Costa County; California,06013339004,339004,,0.08044662080981094
Census Tract 3400.01; Contra Costa County; California,06013340001,340001,,0.057857661707653454
Census Tract 3400.03; Contra Costa County; California,06013340003,340003,,0.02187061365342404
Census Tract 3400.04; Contra Costa County; California,06013340004,340004,,0.015349119123075575
Census Tract 3410; Contra Costa County; California,06013341000,341000,,0.035996810594631896
Census Tract 3430.01; Contra Costa County; California,06013343001,343001,,0.0226593787746472
Census Tract 3430.02; Contra Costa County; California,06013343002,343002,,0.07629758165815616
Census Tract 3430.03; Contra Costa County; California,06013343003,343003,,0.009473125282830926
Census Tract 3451.01; Contra Costa County; California,06013345101,345101,,0.027436373743291578
Census Tract 3451.02; Contra Costa County; California,06013345102,345102,,0.00693954306962682
Census Tract 3451.03; Contra Costa County; California,06013345103,345103,,0.03859279698852047
Census Tract 3451.05; Contra Costa County; California,06013345105,345105,,0.03292860805798316
Census Tract 3451.11; Contra Costa County; California,06013345111,345111,,0.0826540890036465
Census Tract 3451.12; Contra Costa County; California,06013345112,345112,,0.016366367222136025
Census Tract 3451.13; Contra Costa County; California,06013345113,345113,,0.030420515894427364
Census Tract 3451.14; Contra Costa County; California,06013345114,345114,,0.014301938988010268
Census Tract 3451.15; Contra Costa County; California,06013345115,345115,,0.004234020371292454
Census Tract 3451.16; Contra Costa County; California,06013345116,345116,,0.012443743845046675
Census Tract 3451.17; Contra Costa County; California,06013345117,345117,,0.01604975864209438
Census Tract 3451.18; Contra Costa County; California,06013345118,345118,,0.05101962122431145
Census Tract 3452.03; Contra Costa County; California,06013345203,345203,,0.022360998608973524
Census Tract 3452.04; Contra Costa County; California,06013345204,345204,,0.013108069326152372
Census Tract 3452.05; Contra Costa County; California,06013345205,345205,,0.029324278997269207
Census Tract 3452.06; Contra Costa County; California,06013345206,345206,,0.04054123026435679
Census Tract 3461.01; Contra Costa County; California,06013346101,346101,,0.014454720385902111
Census Tract 3461.02; Contra Costa County; California,06013346102,346102,,0.05184976896087049
Census Tract 3462.03; Contra Costa County; California,06013346203,346203,,0.04183701824048665
Census Tract 3462.04; Contra Costa County; California,06013346204,346204,,0.009056286034984777
Census Tract 3462.05; Contra Costa County; California,06013346205,346205,,0.027333044954190592
Census Tract 3462.06; Contra Costa County; California,06013346206,346206,,0.026011313640047988
Census Tract 3470; Contra Costa County; California,06013347000,347000,,0.023529149975490563
Census Tract 3480; Contra Costa County; California,06013348000,348000,,0.0229676643781415
Census Tract 3490; Contra Costa County; California,06013349000,349000,,0.09472137769586553
Census Tract 3500; Contra Costa County; California,06013350000,350000,,0.011636875908811397
Census Tract 3511.01; Contra Costa County; California,06013351101,351101,,0.024298087505285892
Census Tract 3511.03; Contra Costa County; California,06013351103,351103,,0.03206997272715256
Census Tract 3511.04; Contra Costa County; California,06013351104,351104,,0.010453737243188944
Census Tract 3511.05; Contra Costa County; California,06013351105,351105,,0.04005210694780843
Census Tract 3512; Contra Costa County; California,06013351200,351200,,0.029069020286029337
Census Tract 3521.01; Contra Costa County; California,06013352101,352101,,0.024585799544832417
Census Tract 3521.02; Contra Costa County; California,06013352102,352102,,0.017379931001873104
Census Tract 3522.01; Contra Costa County; California,06013352201,352201,,0.11629858735888556
Census Tract 3522.02; Contra Costa County; California,06013352202,352202,,0.030373242695428626
Census Tract 3530.01; Contra Costa County; California,06013353001,353001,,0.012785723219774154
Census Tract 3530.02; Contra Costa County; California,06013353002,353002,,0.011076738914209619
Census Tract 3540.01; Contra Costa County; California,06013354001,354001,,0.022571863136522888
Census Tract 3540.02; Contra Costa County; California,06013354002,354002,,0.020200319097302917
Census Tract 3551.07; Contra Costa County; California,06013355107,355107,,0.0415004766995941
Census Tract 3551.09; Contra Costa County; California,06013355109,355109,,0.029653104401999798
Census Tract 3551.10; Contra Costa County; California,06013355110,355110,,0.043726031394588555
Census Tract 3551.11; Contra Costa County; California,06013355111,355111,,0.010058231868713605
Census Tract 3551.12; Contra Costa County; California,06013355112,355112,,0.01826615913426913
Census Tract 3551.13; Contra Costa County; California,06013355113,355113,,0.02531593603666203
Census Tract 3551.15; Contra Costa County; California,06013355115,355115,,0.06273847704769653
Census Tract 3551.18; Contra Costa County; California,06013355118,355118,,0.04438969016214384
Census Tract 3551.19; Contra Costa County; California,06013355119,355119,,0.15861067166478945
Census Tract 3551.20; Contra Costa County; California,06013355120,355120,,0.10128646251510483
Census Tract 3551.21; Contra Costa County; California,06013355121,355121,,0.02927142508540731
Census Tract 3551.22; Contra Costa County; California,06013355122,355122,,0.021218647812558424
Census Tract 3551.23; Contra Costa County; California,06013355123,355123,,0.04887218045112782
Census Tract 3551.24; Contra Costa County; California,06013355124,355124,,0.03561643835616438
Census Tract 3551.25; Contra Costa County; California,06013355125,355125,,0.17035682515611192
Census Tract 3551.26; Contra Costa County; California,06013355126,355126,,0.022831917723553658
Census Tract 3552.01; Contra Costa County; California,06013355201,355201,,0.057115725625591494
Census Tract 3552.02; Contra Costa County; California,06013355202,355202,,0.023853211009174313
Census Tract 3553.02; Contra Costa County; California,06013355302,355302,,0.015318364200116319
Census Tract 3553.06; Contra Costa County; California,06013355306,355306,,0.017135958144672028
Census Tract 3553.07; Contra Costa County; California,06013355307,355307,,0.02926774242931961
Census Tract 3553.08; Contra Costa County; California,06013355308,355308,,0.019102953187524876
Census Tract 3553.09; Contra Costa County; California,06013355309,355309,,0.02895726506014616
Census Tract 3553.10; Contra Costa County; California,06013355310,355310,,0.03757648333156255
Census Tract 3560.01; Contra Costa County; California,06013356001,356001,,0.04194779495784412
Census Tract 3560.02; Contra Costa County; California,06013356002,356002,,0.12097238803991069
Census Tract 3570; Contra Costa County; California,06013357000,357000,,0.021358453356560843
Census Tract 3580; Contra Costa County; California,06013358000,358000,,0.04123455708013347
Census Tract 3591.02; Contra Costa County; California,06013359102,359102,,0.05207187860252613
Census Tract 3591.03; Contra Costa County; California,06013359103,359103,,0.02630313347099013
Census Tract 3591.04; Contra Costa County; California,06013359104,359104,,0.028199566160520606
Census Tract 3591.05; Contra Costa County; California,06013359105,359105,,0.0515221814818252
Census Tract 3592.02; Contra Costa County; California,06013359202,359202,,0.04140815549705656
Census Tract 3592.03; Contra Costa County; California,06013359203,359203,,0.03585701998515426
