NAME,GEOID,GEO_ID,tract,total,pct_nh_black,pct_nh_black_moe,pct_nh_black_moe_ratio
Census Tract 3010; Contra Costa County; California,06013301000,1400000US06013301000,301000,5329.0,,0.03661874038928267,0.4187580848379557
Census Tract 3020.05; Contra Costa County; California,06013302005,1400000US06013302005,302005,7539.0,,0.06445601933999749,0.44910714399652596
Census Tract 3020.06; Contra Costa County; California,06013302006,1400000US06013302006,302006,4183.0,,0.0681399404195028,0.8663506710479643
Census Tract 3020.07; Contra Costa County; California,06013302007,1400000US06013302007,302007,6652.0,,0.03093576124171031,1.1004528544377379
Census Tract 3020.09; Contra Costa County; California,06013302009,1400000US06013302009,302009,6806.0,,0.06840560720824258,0.4073215771297454
Census Tract 3020.11; Contra Costa County; California,06013302011,1400000US06013302011,302011,4915.0,,0.10691430629061072,0.5508216094531988
Census Tract 3020.12; Contra Costa County; California,06013302012,1400000US06013302012,302012,5810.0,,0.08524335292242577,0.937999773635026
Census Tract 3020.13; Contra Costa County; California,06013302013,1400000US06013302013,302013,2961.0,,0.020896297686702484,0.703112925571887
Census Tract 3020.14; Contra Costa County; California,06013302014,1400000US06013302014,302014,7602.0,,0.018289225836015294,0.9394236135499208
Census Tract 3031.04; Contra Costa County; California,06013303104,1400000US06013303104,303104,6060.0,,0.04502767328021311,0.8773881031449885
Census Tract 3031.05; Contra Costa County; California,06013303105,1400000US06013303105,303105,3326.0,,0.1007928590773576,0.5770000848387116
Census Tract 3031.06; Contra Costa County; California,06013303106,1400000US06013303106,303106,8245.0,0.04596725288053366,0.011237580457020417,0.2444692635043096
Census Tract 3031.07; Contra Costa County; California,06013303107,1400000US06013303107,303107,7260.0,,0.10508201367224927,0.7279536443325665
Census Tract 3032.02; Contra Costa County; California,06013303202,1400000US06013303202,303202,9146.0,,0.10355963858059315,0.911603902269591
Census Tract 3032.04; Contra Costa County; California,06013303204,1400000US06013303204,303204,4735.0,,0.029903033125691182,0.6237482900887565
Census Tract 3032.06; Contra Costa County; California,06013303206,1400000US06013303206,303206,5452.0,,0.06069109038275729,0.4209768762936294
Census Tract 3032.07; Contra Costa County; California,06013303207,1400000US06013303207,303207,8270.0,,0.15841527808717631,0.48112168556039225
Census Tract 3032.08; Contra Costa County; California,06013303208,1400000US06013303208,303208,4060.0,,0.029842418521315493,1.4597616770667579
Census Tract 3032.09; Contra Costa County; California,06013303209,1400000US06013303209,303209,5340.0,,0.07236139059997648,0.6538237323246606
Census Tract 3032.10; Contra Costa County; California,06013303210,1400000US06013303210,303210,3598.0,,0.018998956904820744,0.8235933366692172
Census Tract 3032.11; Contra Costa County; California,06013303211,1400000US06013303211,303211,4679.0,,0.056504329089640475,0.7868564161024637
Census Tract 3040.01; Contra Costa County; California,06013304001,1400000US06013304001,304001,5895.0,,0.04823927669851098,0.4623911156710931
Census Tract 3040.02; Contra Costa County; California,06013304002,1400000US06013304002,304002,1997.0,,0.02052575678280127,20.49496814762707
Census Tract 3040.03; Contra Costa County; California,06013304003,1400000US06013304003,304003,3279.0,,0.015176101497932071,0.9757340551317503
Census Tract 3040.04; Contra Costa County; California,06013304004,1400000US06013304004,304004,3634.0,,0.007414380867180931,1.5849329453726768
Census Tract 3040.06; Contra Costa County; California,06013304006,1400000US06013304006,304006,3292.0,,0.028519628961757852,0.6057201196264957
Census Tract 3040.07; Contra Costa County; California,06013304007,1400000US06013304007,304007,5509.0,,0.09846698247690482,0.908634181683867
Census Tract 3050; Contra Costa County; California,06013305000,1400000US06013305000,305000,7425.0,,0.06762151548675008,0.48324326514833427
Census Tract 3060.02; Contra Costa County; California,06013306002,1400000US06013306002,306002,4439.0,0.06397837350754675,,
Census Tract 3060.03; Contra Costa County; California,06013306003,1400000US06013306003,306003,5166.0,,0.04392132404141961,0.4593068016153314
Census Tract 3060.04; Contra Costa County; California,06013306004,1400000US06013306004,306004,3863.0,,0.054950109962966696,0.7220145400916338
Census Tract 3071.01; Contra Costa County; California,06013307101,1400000US06013307101,307101,4696.0,,0.050915872403331904,0.4580477716590931
Census Tract 3071.02; Contra Costa County; California,06013307102,1400000US06013307102,307102,5694.0,0.09852476290832456,0.03339003661491116,0.33889994382407157
Census Tract 3072.01; Contra Costa County; California,06013307201,1400000US06013307201,307201,4224.0,,0.056823585492769994,0.5333840558254677
Census Tract 3072.02; Contra Costa County; California,06013307202,1400000US06013307202,307202,4481.0,0.28051774157554116,0.07712245155845619,0.27492896215866525
Census Tract 3072.04; Contra Costa County; California,06013307204,1400000US06013307204,307204,4567.0,,0.06340275965904488,0.752104943799631
Census Tract 3072.05; Contra Costa County; California,06013307205,1400000US06013307205,307205,7818.0,0.21974929649526734,0.07529164896501603,0.34262521048224404
Census Tract 3080.01; Contra Costa County; California,06013308001,1400000US06013308001,308001,7523.0,,0.04693797484458299,0.47782731360730424
Census Tract 3080.02; Contra Costa County; California,06013308002,1400000US06013308002,308002,4486.0,0.2059741417744093,0.06660074589742228,0.3233451797573986
Census Tract 3090; Contra Costa County; California,06013309000,1400000US06013309000,309000,3600.0,0.21861111111111112,0.06406599995917851,0.29305921201149
Census Tract 3100; Contra Costa County; California,06013310000,1400000US06013310000,310000,6257.0,0.15742368547227106,0.04553263074261537,0.2892362137629892
Census Tract 3110; Contra Costa County; California,06013311000,1400000US06013311000,311000,5392.0,,0.04154911804284071,0.4267292275942803
Census Tract 3120; Contra Costa County; California,06013312000,1400000US06013312000,312000,2818.0,0.19552874378992194,0.06092439246401005,0.31158790918980095
Census Tract 3131.02; Contra Costa County; California,06013313102,1400000US06013313102,313102,4796.0,0.25875729774812345,0.09354775419016224,0.36152701780501056
Census Tract 3131.04; Contra Costa County; California,06013313104,1400000US06013313104,313104,2909.0,,0.05626250873059727,0.5279601222493789
Census Tract 3131.05; Contra Costa County; California,06013313105,1400000US06013313105,313105,6007.0,,0.12243881474804408,0.4357168010613156
Census Tract 3131.06; Contra Costa County; California,06013313106,1400000US06013313106,313106,7094.0,,0.040432863567354836,0.5547983252356193
