NAME,GEOID,GEO_ID,tract,total,pct_nh_other,pct_nh_other_moe,pct_nh_other_moe_ratio
Census Tract 3010; Contra Costa County; California,06013301000,1400000US06013301000,301000,5329.0,,0.029497003525227203,0.6338287572013539
Census Tract 3020.05; Contra Costa County; California,06013302005,1400000US06013302005,302005,7539.0,0.08913649025069638,0.03199494609161636,0.358943301465321
Census Tract 3020.06; Contra Costa County; California,06013302006,1400000US06013302006,302006,4183.0,,0.03731022448018183,0.6267818032152634
Census Tract 3020.07; Contra Costa County; California,06013302007,1400000US06013302007,302007,6652.0,,0.029442138307929355,0.6317713033043422
Census Tract 3020.09; Contra Costa County; California,06013302009,1400000US06013302009,302009,6806.0,,0.041945149830062485,0.5326094957899352
Census Tract 3020.11; Contra Costa County; California,06013302011,1400000US06013302011,302011,4915.0,,0.06399624055971874,0.8570613688038627
Census Tract 3020.12; Contra Costa County; California,06013302012,1400000US06013302012,302012,5810.0,,0.029421228183897554,0.6331012435127584
Census Tract 3020.13; Contra Costa County; California,06013302013,1400000US06013302013,302013,2961.0,,0.03628950950424743,0.7786466495802655
Census Tract 3020.14; Contra Costa County; California,06013302014,1400000US06013302014,302014,7602.0,,0.04786295020439738,0.583099595278572
Census Tract 3031.04; Contra Costa County; California,06013303104,1400000US06013303104,303104,6060.0,,0.033946889745250085,0.6068382060655325
Census Tract 3031.05; Contra Costa County; California,06013303105,1400000US06013303105,303105,3326.0,,0.018572215306341348,1.6255575818129295
Census Tract 3031.06; Contra Costa County; California,06013303106,1400000US06013303106,303106,8245.0,,0.03647756391495626,0.6524024175245431
Census Tract 3031.07; Contra Costa County; California,06013303107,1400000US06013303107,303107,7260.0,,0.029727116577272252,0.5477636201801943
Census Tract 3032.02; Contra Costa County; California,06013303202,1400000US06013303202,303202,9146.0,,0.052184354121626815,0.9413769285925027
Census Tract 3032.04; Contra Costa County; California,06013303204,1400000US06013303204,303204,4735.0,,0.024866291517682455,0.5976745702346519
Census Tract 3032.06; Contra Costa County; California,06013303206,1400000US06013303206,303206,5452.0,,0.10959255751624367,0.906674694352899
Census Tract 3032.07; Contra Costa County; California,06013303207,1400000US06013303207,303207,8270.0,,0.05029406051255503,0.6741197413919451
Census Tract 3032.08; Contra Costa County; California,06013303208,1400000US06013303208,303208,4060.0,,0.03167499330525555,0.7476771675542879
Census Tract 3032.09; Contra Costa County; California,06013303209,1400000US06013303209,303209,5340.0,,0.02305141080571504,1.0431740144281214
Census Tract 3032.10; Contra Costa County; California,06013303210,1400000US06013303210,303210,3598.0,,0.021599373336547125,0.9142887678223125
Census Tract 3032.11; Contra Costa County; California,06013303211,1400000US06013303211,303211,4679.0,,0.03978598808181011,0.44113421382651535
Census Tract 3040.01; Contra Costa County; California,06013304001,1400000US06013304001,304001,5895.0,,0.04019810206637876,0.7180842778221297
Census Tract 3040.02; Contra Costa County; California,06013304002,1400000US06013304002,304002,1997.0,,0.013679685582273815,3.0353702342000894
Census Tract 3040.03; Contra Costa County; California,06013304003,1400000US06013304003,304003,3279.0,,0.055981863485067666,1.3597372619817545
Census Tract 3040.04; Contra Costa County; California,06013304004,1400000US06013304004,304004,3634.0,,0.015716101091535952,0.5009851874266812
Census Tract 3040.06; Contra Costa County; California,06013304006,1400000US06013304006,304006,3292.0,,0.03869954349084171,0.9651431603928099
Census Tract 3040.07; Contra Costa County; California,06013304007,1400000US06013304007,304007,5509.0,,0.04390603837005589,0.4660469467835027
Census Tract 3050; Contra Costa County; California,06013305000,1400000US06013305000,305000,7425.0,,0.03963887521275627,0.9745650611083287
Census Tract 3060.02; Contra Costa County; California,06013306002,1400000US06013306002,306002,4439.0,,0.016159216509194867,0.8855649640039015
Census Tract 3060.03; Contra Costa County; California,06013306003,1400000US06013306003,306003,5166.0,,0.03266209782969012,0.5339632828739848
Census Tract 3060.04; Contra Costa County; California,06013306004,1400000US06013306004,306004,3863.0,,0.06619082466672799,0.6221293325731636
Census Tract 3071.01; Contra Costa County; California,06013307101,1400000US06013307101,307101,4696.0,,0.03143009055428822,0.8338740409205507
Census Tract 3071.02; Contra Costa County; California,06013307102,1400000US06013307102,307102,5694.0,,0.04390626707986207,0.6720491525611146
Census Tract 3072.01; Contra Costa County; California,06013307201,1400000US06013307201,307201,4224.0,,0.060510693311392715,0.8218558474190445
Census Tract 3072.02; Contra Costa County; California,06013307202,1400000US06013307202,307202,4481.0,,0.06815737551580585,0.5512873640547401
Census Tract 3072.04; Contra Costa County; California,06013307204,1400000US06013307204,307204,4567.0,,0.059314121644537546,0.6892814085257073
Census Tract 3072.05; Contra Costa County; California,06013307205,1400000US06013307205,307205,7818.0,,0.05320175610640006,0.5553155263549208
Census Tract 3080.01; Contra Costa County; California,06013308001,1400000US06013308001,308001,7523.0,,0.025273156696148557,0.6556205442245711
Census Tract 3080.02; Contra Costa County; California,06013308002,1400000US06013308002,308002,4486.0,,0.029123813008740406,0.4699619609971563
Census Tract 3090; Contra Costa County; California,06013309000,1400000US06013309000,309000,3600.0,,0.03508754263173489,0.625322541951711
Census Tract 3100; Contra Costa County; California,06013310000,1400000US06013310000,310000,6257.0,,0.021563428327468593,0.674611855224855
Census Tract 3110; Contra Costa County; California,06013311000,1400000US06013311000,311000,5392.0,,0.016656861411891873,0.9164673136012346
Census Tract 3120; Contra Costa County; California,06013312000,1400000US06013312000,312000,2818.0,,0.11427658412586879,0.7559422865415453
Census Tract 3131.02; Contra Costa County; California,06013313102,1400000US06013313102,313102,4796.0,,0.041201598318619165,0.7007193813336792
Census Tract 3131.04; Contra Costa County; California,06013313104,1400000US06013313104,313104,2909.0,,0.02957808720653538,0.8519074820179349
Census Tract 3131.05; Contra Costa County; California,06013313105,1400000US06013313105,313105,6007.0,,0.01716207842557005,0.9204696884142792
Census Tract 3131.06; Contra Costa County; California,06013313106,1400000US06013313106,313106,7094.0,,0.03106983066909836,0.6005705143503645
Census Tract 3131.07; Contra Costa County; California,06013313107,1400000US06013313107,313107,2718.0,,0.053639261405773374,0.828360866482341
Census Tract 3132.03; Contra Costa County; California,06013313203,1400000US06013313203,313203,3382.0,,0.07552984168607374,0.5589538831122569
Census Tract 3132.04; Contra Costa County; California,06013313204,1400000US06013313204,313204,5864.0,,0.03235030531889799,0.6496650355822527
Census Tract 3132.05; Contra Costa County; California,06013313205,1400000US06013313205,313205,1978.0,0.051061678463094035,0.020171196061975497,0.39503589911472803
Census Tract 3132.06; Contra Costa County; California,06013313206,1400000US06013313206,313206,6290.0,,0.013236931488946073,0.6660823925237664
Census Tract 3141.02; Contra Costa County; California,06013314102,1400000US06013314102,314102,6912.0,,0.012518919352234812,0.6707811671523025
Census Tract 3141.03; Contra Costa County; California,06013314103,1400000US06013314103,314103,5554.0,,0.026788937766165564,1.3525978213934868
Census Tract 3141.05; Contra Costa County; California,06013314105,1400000US06013314105,314105,3958.0,,0.07015239337697356,0.8465340639818942
Census Tract 3141.06; Contra Costa County; California,06013314106,1400000US06013314106,314106,4176.0,,0.04346787340206266,0.9919226192732986
Census Tract 3142; Contra Costa County; California,06013314200,1400000US06013314200,314200,7185.0,,0.013237584150557117,0.6842592958399488
Census Tract 3150; Contra Costa County; California,06013315000,1400000US06013315000,315000,3772.0,,0.012167862794824565,0.8826380473476588
Census Tract 3160; Contra Costa County; California,06013316000,1400000US06013316000,316000,1112.0,,0.07907355753957807,0.46771168076601494
Census Tract 3170; Contra Costa County; California,06013317000,1400000US06013317000,317000,1934.0,,0.05411204225935897,0.960116419537617
Census Tract 3180; Contra Costa County; California,06013318000,1400000US06013318000,318000,3512.0,,0.01604046799337538,0.6329676808172398
Census Tract 3190.01; Contra Costa County; California,06013319001,1400000US06013319001,319001,4236.0,,0.03470046639510162,0.4593474239051577
Census Tract 3190.02; Contra Costa County; California,06013319002,1400000US06013319002,319002,3943.0,,0.046957609652080214,0.6732867449387356
Census Tract 3200.01; Contra Costa County; California,06013320001,1400000US06013320001,320001,3100.0,,0.03499625519365457,0.506955098599669
Census Tract 3200.03; Contra Costa County; California,06013320003,1400000US06013320003,320003,3068.0,,0.054406809521000736,0.4982689301803888
Census Tract 3200.04; Contra Costa County; California,06013320004,1400000US06013320004,320004,6599.0,,0.033590339989077206,0.5265146165983859
Census Tract 3211.01; Contra Costa County; California,06013321101,1400000US06013321101,321101,6866.0,0.10836003495484998,0.03351970551497022,0.3093364221314322
Census Tract 3211.02; Contra Costa County; California,06013321102,1400000US06013321102,321102,6133.0,,0.022306605485227088,0.633363015930082
Census Tract 3211.03; Contra Costa County; California,06013321103,1400000US06013321103,321103,4546.0,,0.03340084359383633,0.44139603191156956
Census Tract 3212; Contra Costa County; California,06013321200,1400000US06013321200,321200,5616.0,,0.03622000516843311,0.43838695910758696
Census Tract 3220; Contra Costa County; California,06013322000,1400000US06013322000,322000,6755.0,,0.04671096739922354,0.41084971976791024
Census Tract 3230; Contra Costa County; California,06013323000,1400000US06013323000,323000,4669.0,,0.03150975897482968,0.5349784169217446
Census Tract 3240.02; Contra Costa County; California,06013324002,1400000US06013324002,324002,4740.0,,0.04477975358606518,0.8993899660930041
Census Tract 3240.03; Contra Costa County; California,06013324003,1400000US06013324003,324003,3449.0,,0.017869834823936753,1.0272176717959642
Census Tract 3240.04; Contra Costa County; California,06013324004,1400000US06013324004,324004,2413.0,,0.0360742458253574,0.7314886989629193
Census Tract 3250; Contra Costa County; California,06013325000,1400000US06013325000,325000,6161.0,,0.05568483435554868,0.6687607494435388
Census Tract 3260; Contra Costa County; California,06013326000,1400000US06013326000,326000,3639.0,,0.05658176088628962,0.425415346828942
Census Tract 3270.01; Contra Costa County; California,06013327001,1400000US06013327001,327001,3479.0,,0.022009657218414427,0.7893979119882866
Census Tract 3270.02; Contra Costa County; California,06013327002,1400000US06013327002,327002,3833.0,,0.05062848040452969,0.8257828314492013
Census Tract 3280; Contra Costa County; California,06013328000,1400000US06013328000,328000,2326.0,,0.02731148202581637,0.9342133410595423
Census Tract 3290; Contra Costa County; California,06013329000,1400000US06013329000,329000,6488.0,,0.04111292392104324,0.41613205990597274
Census Tract 3300; Contra Costa County; California,06013330000,1400000US06013330000,330000,5587.0,,0.03985860675978905,0.43664712934694394
Census Tract 3310; Contra Costa County; California,06013331000,1400000US06013331000,331000,7789.0,,0.05362545522664063,0.49489179000036004
Census Tract 3320; Contra Costa County; California,06013332000,1400000US06013332000,332000,8109.0,,0.056247265593918086,0.5892882127920953
Census Tract 3331.01; Contra Costa County; California,06013333101,1400000US06013333101,333101,3951.0,,0.022946988493078354,0.7253084122892206
Census Tract 3331.02; Contra Costa County; California,06013333102,1400000US06013333102,333102,4251.0,,0.03855607943450425,0.5832807604130875
Census Tract 3332; Contra Costa County; California,06013333200,1400000US06013333200,333200,5866.0,,0.1485282298624621,0.9132773546888918
Census Tract 3340.01; Contra Costa County; California,06013334001,1400000US06013334001,334001,3960.0,,0.0698223413294455,0.6678658735860005
Census Tract 3340.06; Contra Costa County; California,06013334006,1400000US06013334006,334006,4731.0,,0.059231295952068594,0.5208610802030419
Census Tract 3340.07; Contra Costa County; California,06013334007,1400000US06013334007,334007,3435.0,,0.08429473095631292,0.7976650160742008
Census Tract 3340.08; Contra Costa County; California,06013334008,1400000US06013334008,334008,3793.0,,0.019652126259490487,0.6316992788326052
Census Tract 3342; Contra Costa County; California,06013334200,1400000US06013334200,334200,7547.0,,0.04037443394815819,0.47834513815816304
Census Tract 3350; Contra Costa County; California,06013335000,1400000US06013335000,335000,3612.0,,0.10986683676221042,0.7215254807001892
Census Tract 3361.01; Contra Costa County; California,06013336101,1400000US06013336101,336101,4438.0,,0.021633363480429615,0.7934617117863358
Census Tract 3361.03; Contra Costa County; California,06013336103,1400000US06013336103,336103,4862.0,,0.027753600929448355,0.5970708306149465
Census Tract 3361.04; Contra Costa County; California,06013336104,1400000US06013336104,336104,2539.0,,0.03922405998410957,1.0266998793778783
Census Tract 3362.01; Contra Costa County; California,06013336201,1400000US06013336201,336201,3376.0,,0.04082876844605988,0.7700442585133975
Census Tract 3362.02; Contra Costa County; California,06013336202,1400000US06013336202,336202,6012.0,,0.0227784911924507,1.0296563086391999
Census Tract 3371; Contra Costa County; California,06013337100,1400000US06013337100,337100,3160.0,,0.047544181372464744,0.4815372215929122
Census Tract 3372.01; Contra Costa County; California,06013337201,1400000US06013337201,337201,3139.0,,0.08449237714587864,0.6314799330021739
Census Tract 3372.02; Contra Costa County; California,06013337202,1400000US06013337202,337202,5515.0,,0.040686944681761414,0.8219358971425429
Census Tract 3373; Contra Costa County; California,06013337300,1400000US06013337300,337300,5994.0,,0.03546733860589005,0.5609267219095116
Census Tract 3381.01; Contra Costa County; California,06013338101,1400000US06013338101,338101,5543.0,,0.020408929998994633,0.5412760716958241
Census Tract 3381.02; Contra Costa County; California,06013338102,1400000US06013338102,338102,3231.0,,0.029072210059397013,0.7893471487555609
Census Tract 3382.01; Contra Costa County; California,06013338201,1400000US06013338201,338201,4019.0,,0.023904621839064888,0.49521997510928756
Census Tract 3382.03; Contra Costa County; California,06013338203,1400000US06013338203,338203,5431.0,,0.047904413528112415,0.8447041229583718
Census Tract 3382.04; Contra Costa County; California,06013338204,1400000US06013338204,338204,6600.0,,0.046755197011432575,0.41420711446369796
Census Tract 3383.01; Contra Costa County; California,06013338301,1400000US06013338301,338301,2910.0,,0.059689880848039605,0.6457158114044432
Census Tract 3383.02; Contra Costa County; California,06013338302,1400000US06013338302,338302,5513.0,,0.043545899905670524,0.566199401367834
Census Tract 3390.01; Contra Costa County; California,06013339001,1400000US06013339001,339001,3659.0,,0.03786551833184582,0.6103521214811625
Census Tract 3390.03; Contra Costa County; California,06013339003,1400000US06013339003,339003,4153.0,,0.02665358871546631,0.5101030135268737
Census Tract 3390.04; Contra Costa County; California,06013339004,1400000US06013339004,339004,3319.0,,0.03112410828108643,0.532478945283123
Census Tract 3400.01; Contra Costa County; California,06013340001,1400000US06013340001,340001,6118.0,,0.030923490686824942,0.522624077408826
Census Tract 3400.03; Contra Costa County; California,06013340003,1400000US06013340003,340003,3718.0,,0.03489202469340185,0.6390568857638822
Census Tract 3400.04; Contra Costa County; California,06013340004,1400000US06013340004,340004,3940.0,,0.027745220508992547,0.6747911654656212
Census Tract 3410; Contra Costa County; California,06013341000,1400000US06013341000,341000,4760.0,,0.05676371924641443,0.7443396793744701
