NAME,GEOID,GEO_ID,tract,total,pct_nh_white,pct_nh_white_moe,pct_nh_white_moe_ratio
Census Tract 3010; Contra Costa County; California,06013301000,1400000US06013301000,301000,5329.0,0.5562019140551698,0.07047360132216364,0.1267050679641734
Census Tract 3020.05; Contra Costa County; California,06013302005,1400000US06013302005,302005,7539.0,0.4898527656187823,0.1917396776633072,0.3914230787716418
Census Tract 3020.06; Contra Costa County; California,06013302006,1400000US06013302006,302006,4183.0,0.4491991393736553,0.0807206013940964,0.17969892263518106
Census Tract 3020.07; Contra Costa County; California,06013302007,1400000US06013302007,302007,6652.0,0.5661455201443175,0.15920177981447345,0.2812029313132972
Census Tract 3020.09; Contra Costa County; California,06013302009,1400000US06013302009,302009,6806.0,0.21128416103438144,0.06866561687903308,0.32499178614652235
Census Tract 3020.11; Contra Costa County; California,06013302011,1400000US06013302011,302011,4915.0,0.2726347914547304,0.07285172841576701,0.2672136157936529
Census Tract 3020.12; Contra Costa County; California,06013302012,1400000US06013302012,302012,5810.0,0.3388984509466437,,
Census Tract 3020.13; Contra Costa County; California,06013302013,1400000US06013302013,302013,2961.0,0.5653495440729484,0.09819584770293062,0.1736905048078719
Census Tract 3020.14; Contra Costa County; California,06013302014,1400000US06013302014,302014,7602.0,0.4927650618258353,0.07976263484559581,0.16186747199578735
Census Tract 3031.04; Contra Costa County; California,06013303104,1400000US06013303104,303104,6060.0,0.4698019801980198,0.10572266444856332,0.22503665140790086
Census Tract 3031.05; Contra Costa County; California,06013303105,1400000US06013303105,303105,3326.0,,0.16299180063885504,0.5217620105147563
Census Tract 3031.06; Contra Costa County; California,06013303106,1400000US06013303106,303106,8245.0,0.3313523347483323,0.08033116877434897,0.24243429229301144
Census Tract 3031.07; Contra Costa County; California,06013303107,1400000US06013303107,303107,7260.0,0.3396694214876033,0.04062327269671488,0.11959649626040147
Census Tract 3032.02; Contra Costa County; California,06013303202,1400000US06013303202,303202,9146.0,0.49912530067789196,0.05949028102194445,0.1191890712435277
Census Tract 3032.04; Contra Costa County; California,06013303204,1400000US06013303204,303204,4735.0,0.5453009503695881,0.1031198440044086,0.18910629797090425
Census Tract 3032.06; Contra Costa County; California,06013303206,1400000US06013303206,303206,5452.0,0.45634629493763756,0.09021216095219556,0.1976835617007115
Census Tract 3032.07; Contra Costa County; California,06013303207,1400000US06013303207,303207,8270.0,0.21535671100362758,0.02176820526718934,0.10107976280721832
Census Tract 3032.08; Contra Costa County; California,06013303208,1400000US06013303208,303208,4060.0,0.6236453201970443,0.06846037296174175,0.10977453168430944
Census Tract 3032.09; Contra Costa County; California,06013303209,1400000US06013303209,303209,5340.0,0.250187265917603,0.07703062217416949,0.3078918580913661
Census Tract 3032.10; Contra Costa County; California,06013303210,1400000US06013303210,303210,3598.0,0.7993329627570873,0.10442646991539314,0.13064201625715735
Census Tract 3032.11; Contra Costa County; California,06013303211,1400000US06013303211,303211,4679.0,0.4486001282325283,0.05470366724881369,0.12194304862181955
Census Tract 3040.01; Contra Costa County; California,06013304001,1400000US06013304001,304001,5895.0,0.5477523324851569,0.06411526381281908,0.11705155781250186
Census Tract 3040.02; Contra Costa County; California,06013304002,1400000US06013304002,304002,1997.0,,0.24151883001219016,0.4317932887505315
Census Tract 3040.03; Contra Costa County; California,06013304003,1400000US06013304003,304003,3279.0,0.6892345227203416,0.05491290414154502,0.07967230649563102
Census Tract 3040.04; Contra Costa County; California,06013304004,1400000US06013304004,304004,3634.0,0.7162905888827737,0.05943354893149476,0.08297407484327775
Census Tract 3040.06; Contra Costa County; California,06013304006,1400000US06013304006,304006,3292.0,0.6029769137302552,0.0861489220436613,0.14287267071422316
Census Tract 3040.07; Contra Costa County; California,06013304007,1400000US06013304007,304007,5509.0,0.5206026502087493,0.151685817555162,0.29136581900675995
Census Tract 3050; Contra Costa County; California,06013305000,1400000US06013305000,305000,7425.0,0.21063973063973063,0.05410232532723852,0.256847676185899
Census Tract 3060.02; Contra Costa County; California,06013306002,1400000US06013306002,306002,4439.0,0.35796350529398513,0.08014084768416466,0.2238799388735097
Census Tract 3060.03; Contra Costa County; California,06013306003,1400000US06013306003,306003,5166.0,0.2845528455284553,0.07535672409449272,0.26482505896064584
Census Tract 3060.04; Contra Costa County; California,06013306004,1400000US06013306004,306004,3863.0,0.40176028993010615,0.07067378304390858,0.17591032467694512
Census Tract 3071.01; Contra Costa County; California,06013307101,1400000US06013307101,307101,4696.0,0.346252129471891,0.06364926403057292,0.18382345872544306
Census Tract 3071.02; Contra Costa County; California,06013307102,1400000US06013307102,307102,5694.0,0.20372321742184757,0.04842492543785152,0.23769959089924703
Census Tract 3072.01; Contra Costa County; California,06013307201,1400000US06013307201,307201,4224.0,0.22348484848484848,0.0788708271038644,0.3529135314478
Census Tract 3072.02; Contra Costa County; California,06013307202,1400000US06013307202,307202,4481.0,,0.0480613981561764,0.40254789745388125
Census Tract 3072.04; Contra Costa County; California,06013307204,1400000US06013307204,307204,4567.0,0.33807751259032187,0.0652774781082376,0.19308435396393855
Census Tract 3072.05; Contra Costa County; California,06013307205,1400000US06013307205,307205,7818.0,0.27551803530314656,0.05241636742268142,0.19024659262326993
Census Tract 3080.01; Contra Costa County; California,06013308001,1400000US06013308001,308001,7523.0,0.28100491825069784,0.03663902971436152,0.13038572400243223
Census Tract 3080.02; Contra Costa County; California,06013308002,1400000US06013308002,308002,4486.0,0.23316986179224253,0.05745915069861628,0.2464261472600312
Census Tract 3090; Contra Costa County; California,06013309000,1400000US06013309000,309000,3600.0,0.2833333333333333,0.08677903039179881,0.306278930794584
Census Tract 3100; Contra Costa County; California,06013310000,1400000US06013310000,310000,6257.0,,0.07792351964942755,0.45270887878037896
Census Tract 3110; Contra Costa County; California,06013311000,1400000US06013311000,311000,5392.0,0.11090504451038576,0.03865825358365634,0.34857074134293475
Census Tract 3120; Contra Costa County; California,06013312000,1400000US06013312000,312000,2818.0,,0.02804181945559628,0.41372694882654615
Census Tract 3131.02; Contra Costa County; California,06013313102,1400000US06013313102,313102,4796.0,0.1559633027522936,0.029064426752807633,0.18635426565035482
Census Tract 3131.04; Contra Costa County; California,06013313104,1400000US06013313104,313104,2909.0,,0.09363685106460257,0.4164978589402582
Census Tract 3131.05; Contra Costa County; California,06013313105,1400000US06013313105,313105,6007.0,0.277842517063426,0.09761870332213467,0.3513454468879946
Census Tract 3131.06; Contra Costa County; California,06013313106,1400000US06013313106,313106,7094.0,,0.1659064751524702,0.4556486777900208
Census Tract 3131.07; Contra Costa County; California,06013313107,1400000US06013313107,313107,2718.0,0.26637233259749815,0.08461392279630288,0.31765282066346856
Census Tract 3132.03; Contra Costa County; California,06013313203,1400000US06013313203,313203,3382.0,0.23211117681845062,0.03919354366106146,0.1688567702696941
Census Tract 3132.04; Contra Costa County; California,06013313204,1400000US06013313204,313204,5864.0,0.21691678035470668,0.045597359904143424,0.21020669691658572
Census Tract 3132.05; Contra Costa County; California,06013313205,1400000US06013313205,313205,1978.0,0.14459049544994945,0.03805553416650404,0.2631952677669405
Census Tract 3132.06; Contra Costa County; California,06013313206,1400000US06013313206,313206,6290.0,0.13608903020667726,0.03710845741707116,0.2726778004128243
Census Tract 3141.02; Contra Costa County; California,06013314102,1400000US06013314102,314102,6912.0,0.15813078703703703,0.03919513649622751,0.24786530966324294
Census Tract 3141.03; Contra Costa County; California,06013314103,1400000US06013314103,314103,5554.0,0.11649261793302125,0.03206919836623849,0.2752895328069375
Census Tract 3141.05; Contra Costa County; California,06013314105,1400000US06013314105,314105,3958.0,,0.04785904213916562,0.41179584518873374
